,Year,Month,State,Location,Food,Ingredient,Species,Serotype/Genotype,Status,Illnesses,Hospitalizations,Fatalities
79,1998,January,Oregon,,,,Shigella boydii,,Confirmed,2,,
80,1998,January,Oregon,,"Homemade Cheese, Unspecified",,Salmonella enterica,Typhimurium,Confirmed,8,0.0,0.0
81,1998,January,Pennsylvania,,"Cake, Unspecified; Ice Cream, Unspecified",,,,,23,0.0,0.0
82,1998,January,Pennsylvania,Restaurant; Catering Service,"Pasta, Unspecified; Meatballs",,Salmonella enterica,Enteritidis,Confirmed,4,2.0,0.0
83,1998,January,Pennsylvania,Restaurant,"Chicken, Unspecified",,,,,16,0.0,0.0
84,1998,January,Pennsylvania,Restaurant,,,,,,17,0.0,0.0
86,1998,January,Virginia,Restaurant,,,,,,13,0.0,0.0
87,1998,January,Washington,Restaurant,,,,,,3,0.0,0.0
90,1998,February,California,Restaurant,"Enchilada, Chicken",,Salmonella enterica,Enteritidis,Confirmed,10,1.0,0.0
91,1998,February,Colorado,Restaurant,Onion Dip,,Virus,,Suspected,11,,
92,1998,February,Colorado,Restaurant,"Refried Beans, Unspecified; Peppers, Chili",,Clostridium perfringens,,Confirmed,10,0.0,0.0
93,1998,February,Colorado,Restaurant,Cream Cheese,,Virus,,Suspected,6,,0.0
94,1998,February,Connecticut,Restaurant,"French Toast, Unspecified; Shell Eggs, Scrambled Hard",Egg,Salmonella enterica,Enteritidis,Confirmed,10,,
97,1998,February,Florida,Restaurant,"Pork, Bbq; Beans, Baked",,Clostridium perfringens,,Suspected,3,0.0,0.0
98,1998,February,Florida,,"Hot Dog, Unspecified",,,,,8,0.0,0.0
99,1998,February,Florida,Restaurant,"Beef, Other",,Clostridium perfringens,,Suspected,3,0.0,0.0
100,1998,February,Florida,Restaurant,"Chicken, Buffalo Wings",,,,,6,0.0,0.0
101,1998,February,Florida,Restaurant,"Chicken, Other",,,,,2,1.0,0.0
102,1998,February,Florida,Grocery Store,"Oil, Unspecified",,,,,4,0.0,0.0
104,1998,February,Florida,,"Burrito, Unspecified",,Staphylococcus aureus,,Suspected,18,0.0,0.0
105,1998,February,Florida,,"Hot Dog, Unspecified",,,,,2,0.0,0.0
106,1998,February,Florida,Restaurant,,,Staphylococcus aureus,,Suspected,8,0.0,0.0
107,1998,February,Florida,Restaurant; Grocery Store,"Pudding, Chocolate; Salad, Unspecified; Cake, Carrot",,,,,3,0.0,0.0
108,1998,February,Florida,Restaurant,,,,,,5,0.0,0.0
109,1998,February,Florida,Restaurant,"Salmon, Unspecified",,,,,2,0.0,0.0
110,1998,February,Florida,,"Ethnic Style, Unspecified",,Bacillus cereus,,Suspected,4,0.0,0.0
111,1998,February,Florida,Restaurant,"Ethnic Style, Unspecified",,,,,2,0.0,0.0
113,1998,February,Florida,Restaurant,"Tuna Dishes, Unspecified",,,,,2,,0.0
115,1998,February,Florida,Restaurant,"Cream Sauce, Unspecified",,Bacillus cereus,,Suspected,15,0.0,0.0
116,1998,February,Florida,Restaurant,"Ground Beef, Hamburger",,,,,4,0.0,0.0
117,1998,February,Florida,Restaurant,Wine,,,,,3,2.0,0.0
118,1998,February,Florida,Restaurant,"Ground Beef, Hamburger",,,,,3,0.0,0.0
121,1998,February,Indiana,Restaurant,"Crepe, Unspecified",,,,,9,0.0,0.0
122,1998,February,Maryland,Restaurant,,,,,,8,0.0,0.0
123,1998,February,Maryland,Restaurant,,,,,,3,,
124,1998,February,Maryland,Restaurant,"Sandwich, Chicken",,,,,6,,
125,1998,February,Maryland,Restaurant,"Eggs, Unspecified; Biscuits And Gravy",,,,,2,,
126,1998,February,Maryland,Restaurant,,,,,,2,,
127,1998,February,Maryland,Restaurant,,,,,,17,0.0,0.0
128,1998,February,Michigan,Restaurant,"Sandwich, Reuben; Ground Beef, Hamburger",,,,,3,,
129,1998,February,Michigan,Restaurant,"Chicken, Unspecified; Coleslaw",,,,,5,,
130,1998,February,Michigan,Restaurant,"Taco, Unspecified",,,,,5,,
131,1998,February,Michigan,Restaurant,Ice,,,,,4,,
132,1998,February,Michigan,Restaurant,Pita,,,,,8,,
133,1998,February,Michigan,Catering Service,"Chicken, Unspecified",,,,,20,,
134,1998,February,Michigan,Restaurant,"Pizza, Unspecified",,,,,4,0.0,0.0
135,1998,February,Michigan,Restaurant,Unspecified Fish; French Fries,,,,,2,0.0,0.0
136,1998,February,Minnesota,Restaurant; Private Home/Residence,,,Norovirus genogroup I,,Confirmed,13,0.0,0.0
137,1998,February,Minnesota,School/College/University,"Ground Beef, Unspecified",,Clostridium perfringens; Staphylococcus aureus,,Suspected; Suspected,16,0.0,0.0
138,1998,February,Mississippi,Restaurant,,,,,,12,,
140,1998,February,New Hampshire,Catering Service,,,,,,16,,
141,1998,February,New Jersey,Restaurant,,,Shigella flexneri,Serotype 2 Unspecified,Confirmed,10,6.0,0.0
142,1998,February,New York,Restaurant,,,,,,8,0.0,0.0
143,1998,February,New York,Catering Service,"Egg Salad/Egg Salad Sandwich; Fish, White",,,,,23,,
144,1998,February,New York,Catering Service,,,,,,17,0.0,0.0
145,1998,February,New York,Catering Service,,,,,,17,1.0,0.0
146,1998,February,New York,Catering Service,,,,,,18,,
147,1998,February,New York,Restaurant,"Deli Meat, Multiple",,Yersinia enterocolitica,,Confirmed,9,0.0,0.0
148,1998,February,North Carolina,Catering Service,,,Campylobacter unknown,,Confirmed,9,,
149,1998,February,North Carolina,Restaurant,"Roast Beef, Unspecified",,,,,9,,0.0
150,1998,February,Ohio,Restaurant,"Taco, Beef",,,,,2,1.0,0.0
151,1998,February,Ohio,Restaurant,,,,,,3,0.0,0.0
152,1998,February,Ohio,Restaurant,,,,,,4,,
153,1998,February,Ohio,Catering Service,"Nuts, Unspecified",,,,,25,,
154,1998,February,Ohio,Private Home/Residence,"Shrimp, Unspecified",,,,,2,0.0,0.0
155,1998,February,Ohio,Restaurant,,,,,,2,0.0,0.0
157,1998,February,Ohio,Restaurant,,,,,,4,0.0,0.0
159,1998,February,Ohio,Restaurant,"Chicken, Nuggets/Fingers",,,,,3,1.0,0.0
161,1998,February,Oregon,Private Home/Residence,"Oysters, Fried",Shellfish,,,,4,0.0,0.0
164,1998,February,Oregon,Restaurant,Pasta-Based Salads Unspecified,,,,,15,0.0,0.0
165,1998,February,Pennsylvania,Restaurant,"Seafood Soup/Stew, Unspecified; Butter; Soda, Unspecified",,,,,20,0.0,0.0
166,1998,February,Pennsylvania,Restaurant,"Soda, Unspecified; Butter; Seafood, Unspecified",,,,,11,0.0,0.0
167,1998,February,Pennsylvania,Restaurant,"Soup, Other Seafood Chowder; Butter; Soda, Other",,,,,20,0.0,0.0
168,1998,February,Pennsylvania,Restaurant,,,Salmonella enterica,Litchfield,Confirmed,6,2.0,0.0
169,1998,February,Pennsylvania,Restaurant,,,,,,15,0.0,0.0
170,1998,February,Texas,,,,,,,2,,
171,1998,February,Texas,Camp,,,,,,5,,
172,1998,February,Texas,Restaurant,"Soup, Chicken",,Staphylococcus aureus,,Suspected,22,,
174,1998,February,Washington,Restaurant,,,,,,4,0.0,0.0
175,1998,February,Washington,Restaurant,,,,,,2,0.0,0.0
176,1998,February,Washington,Restaurant,,,,,,3,0.0,0.0
177,1998,March,Alabama,Restaurant,,,,,,3,2.0,0.0
178,1998,March,Alabama,Restaurant,,,,,,2,0.0,0.0
179,1998,March,Arkansas,Grocery Store,"Chicken, Smoked",Chicken,Streptococcus group A,,Confirmed,4,4.0,
181,1998,March,California,,"Sausage, Unspecified",,,,,5,1.0,0.0
182,1998,March,California,Restaurant,"Chile Relleno, Unspecified; Rice, Unspecified; Beans, Unspecified",,Salmonella enterica,Enteritidis,Confirmed,4,0.0,0.0
183,1998,March,California,Private Home/Residence,,,,,,7,0.0,0.0
184,1998,March,California,Private Home/Residence,"Ice Cream, Unspecified; Eggs, Other",,Salmonella enterica,Enteritidis,Confirmed,6,1.0,0.0
186,1998,March,California,Restaurant,"Fish, Ahi",,Scombroid toxin,,Confirmed,6,0.0,0.0
187,1998,March,Colorado,Restaurant,,,Virus,,Suspected,23,,
188,1998,March,Florida,Hospital,"Leaf Lettuce, Unspecified",,Norovirus genogroup I,,Suspected,14,,
189,1998,March,Florida,Restaurant,"Salami, Unspecified",,,,,11,0.0,0.0
190,1998,March,Florida,Restaurant,"Taco, Beef",,,,,2,0.0,0.0
191,1998,March,Florida,Restaurant,"Nachos, Unspecified",,Staphylococcus aureus,,Suspected,2,0.0,0.0
192,1998,March,Florida,Restaurant,"Pasta, Unspecified; Chicken, Unspecified",,,,,3,0.0,0.0
193,1998,March,Florida,Restaurant,Multiple Foods,,,,,2,0.0,0.0
194,1998,March,Florida,Restaurant,"Pizza, Meat",,,,,2,2.0,0.0
195,1998,March,Florida,Restaurant,"Chicken, Bbq",,Salmonella enterica,,Suspected,2,0.0,0.0
196,1998,March,Florida,Restaurant,"Beans, Baked",,,,,3,0.0,0.0
197,1998,March,Florida,Restaurant,"Rice, Unspecified; Beans, Unspecified",,,,,2,,0.0
198,1998,March,Florida,Restaurant,"Steak, Other",,,,,2,0.0,0.0
199,1998,March,Florida,Restaurant,"Sandwich, Unspecified; Salad, Unspecified",,Norovirus genogroup I,,Suspected,24,0.0,0.0
200,1998,March,Florida,Restaurant,"Ground Beef, Cheeseburger",,,,,2,0.0,0.0
201,1998,March,Florida,Restaurant,"Pasta, Unspecified; Chicken, Unspecified",,,,,3,1.0,0.0
202,1998,March,Florida,Restaurant,"Pork, Bbq",,Staphylococcus aureus,,Suspected,2,0.0,0.0
203,1998,March,Florida,Restaurant,"Fish, Sole",,,,,4,0.0,0.0
204,1998,March,Florida,Restaurant,"Pork, Bbq",,,,,2,0.0,0.0
205,1998,March,Florida,Restaurant,,,,,,3,2.0,0.0
206,1998,March,Florida,Restaurant,"Oysters, Raw",,,,,2,,0.0
207,1998,March,Florida,,"Sauces, Unspecified",,Bacillus cereus,,Suspected,2,0.0,0.0
208,1998,March,Florida,Restaurant,,,,,,2,0.0,0.0
209,1998,March,Florida,Restaurant,"Chicken, Unspecified",,Salmonella enterica,Enteritidis,Suspected,4,0.0,0.0
210,1998,March,Florida,Restaurant,Ice,,Norovirus genogroup I,,Suspected,7,0.0,0.0
211,1998,March,Florida,Restaurant,"Cream, Unspecified",,,,,2,0.0,0.0
212,1998,March,Florida,Restaurant,"Enchilada, Chicken",,Salmonella enterica,,Suspected,3,0.0,0.0
213,1998,March,Florida,Restaurant,Ice,,Norovirus genogroup I,,Suspected,8,0.0,0.0
214,1998,March,Florida,School/College/University,"Hot Dog, Unspecified",,Salmonella enterica,Enteritidis,Confirmed,2,1.0,0.0
215,1998,March,Florida,Restaurant,"Sandwich, Chicken",,Staphylococcus aureus,,Suspected,3,0.0,0.0
216,1998,March,Florida,Restaurant,,,,,,3,0.0,0.0
217,1998,March,Florida,Restaurant,Coleslaw,,,,,3,0.0,0.0
218,1998,March,Florida,Restaurant,"Steak, Other",,Salmonella enterica,,Suspected,2,0.0,0.0
219,1998,March,Florida,Restaurant,"Rice, Unspecified; Chicken, Unspecified; Beans, Unspecified",,,,,2,0.0,0.0
220,1998,March,Florida,Private Home/Residence,"Cake, Chocolate",,,,,2,0.0,0.0
221,1998,March,Florida,Private Home/Residence,"Bread, Cornbread; Chicken, Unspecified; Ham, Unspecified",,Clostridium perfringens,,Suspected,18,0.0,0.0
223,1998,March,Florida,Restaurant,,,Campylobacter unknown,,Confirmed,4,0.0,0.0
224,1998,March,Florida,Restaurant,"Cake, Unspecified; Water; Potato, Unspecified",,,,,4,0.0,0.0
225,1998,March,Hawaii,Private Home/Residence,Unspecified Fish,,Ciguatoxin,,Confirmed,2,0.0,0.0
227,1998,March,Hawaii,Restaurant,"Fish, Swordfish",,Scombroid toxin,,Confirmed,2,0.0,0.0
228,1998,March,Illinois,Restaurant,,,,,,6,0.0,0.0
229,1998,March,Illinois,Restaurant,Hollandaise Sauce,,Salmonella enterica,Enteritidis,Confirmed,2,0.0,0.0
231,1998,March,Illinois,Restaurant,,,,,,3,0.0,0.0
232,1998,March,Illinois,Restaurant,,,,,,9,0.0,0.0
233,1998,March,Maryland,Restaurant,Shrimp Salad,,,,,11,1.0,
234,1998,March,Maryland,Office/Indoor Workplace,,,Hepatitis A,,Confirmed,5,,
236,1998,March,Maryland,Restaurant,,,,,,3,,
237,1998,March,Maryland,Restaurant,"Other Cheese, Unspecified; French Fries",,,,,3,0.0,0.0
238,1998,March,Maryland,,,,,,,3,0.0,0.0
239,1998,March,Maryland,Restaurant,,,,,,3,0.0,0.0
240,1998,March,Maryland,Restaurant,"Chicken, Unspecified",,,,,2,0.0,0.0
241,1998,March,Massachusetts,Restaurant,,,Salmonella enterica,Typhimurium,Confirmed,6,,
242,1998,March,Michigan,Restaurant,"Chili Sauce, Unspecified; Hot Dog, Unspecified",,,,,3,,
243,1998,March,Michigan,Restaurant,"French Toast, Unspecified; Beef, Jerky",,,,,2,,
244,1998,March,Michigan,Restaurant,"Pizza, Unspecified",,,,,5,,
245,1998,March,Michigan,,,,,,,11,,
246,1998,March,Michigan,Restaurant,"Sushi, Unspecified",,,,,2,0.0,0.0
247,1998,March,Michigan,Restaurant,"Rice, Unspecified; Chicken, Unspecified; Salad, Unspecified",,,,,2,1.0,0.0
248,1998,March,Michigan,,"Shrimp, Unspecified; Caesar Salad",,,,,3,,
249,1998,March,Michigan,Restaurant,"Sandwich, Submarine",,,,,15,0.0,0.0
251,1998,March,Minnesota,Restaurant,"Potato Salad; Vegetable Dip, Unspecified",,,,,7,0.0,0.0
252,1998,March,Minnesota,Restaurant,,,,,,4,0.0,0.0
253,1998,March,New Hampshire,Catering Service,,,,,,12,,
254,1998,March,New Mexico,Restaurant,"Milk, 1% Milk Unpasteurized; Sauces, Unspecified",,Staphylococcus aureus,,Confirmed,20,3.0,0.0
255,1998,March,New York,Restaurant,Multiple Foods,,,,,17,0.0,0.0
256,1998,March,New York,Restaurant,"Chicken, Unspecified",,,,,5,,
258,1998,March,New York,Restaurant,"Salad, Unspecified",,,,,14,0.0,0.0
259,1998,March,New York,Restaurant,,,,,,9,0.0,0.0
260,1998,March,North Carolina,,,,Salmonella enterica,,Confirmed,9,,
262,1998,March,Ohio,Restaurant,"Chicken, Fried",,,,,2,0.0,0.0
263,1998,March,Ohio,Private Home/Residence,,,,,,8,1.0,0.0
264,1998,March,Ohio,,,,,,,3,0.0,0.0
265,1998,March,Ohio,,,,,,,5,0.0,0.0
267,1998,March,Ohio,,,,Salmonella enterica,Typhimurium,Confirmed,7,,
268,1998,March,Ohio,Restaurant,,,,,,5,0.0,0.0
269,1998,March,Ohio,Restaurant,,,,,,7,,0.0
270,1998,March,Ohio,Restaurant,,,,,,2,0.0,0.0
271,1998,March,Ohio,Restaurant,Onion Dip,,,,,3,0.0,0.0
272,1998,March,Ohio,Restaurant,Hollandaise Sauce,,Salmonella enterica,Montevideo,Confirmed,4,1.0,0.0
274,1998,March,Oregon,Restaurant,"Chicken, Fried",,Staphylococcus aureus,,Confirmed,5,0.0,0.0
275,1998,March,Pennsylvania,,,,,,,16,0.0,0.0
276,1998,March,Pennsylvania,,,,,,,3,0.0,0.0
277,1998,March,Pennsylvania,Restaurant,"Lettuce, Unspecified",,,,,3,0.0,0.0
278,1998,March,Pennsylvania,Catering Service,Turkey And Stuffing,,Salmonella enterica,Heidelberg,Confirmed,25,1.0,0.0
282,1998,March,Utah,Private Home/Residence,,,Salmonella enterica,Enteritidis,Suspected,7,1.0,0.0
283,1998,March,Virginia,Restaurant,"Pie, Unspecified; Eggs, Other",,Salmonella enterica,Enteritidis,Confirmed,23,5.0,0.0
285,1998,March,Virginia,Restaurant,"Rice, Unspecified; Chicken, Unspecified",,,,,8,,
287,1998,March,Washington,Restaurant,"Tuna, Unspecified",,Scombroid toxin,,Confirmed,2,0.0,0.0
288,1998,March,Washington,Restaurant,,,Hepatitis A,,Confirmed,8,0.0,0.0
289,1998,March,Washington,Restaurant,,,,,,2,0.0,0.0
291,1998,March,Washington,,,,,,,16,0.0,0.0
292,1998,March,Washington,Restaurant,,,,,,3,6.0,0.0
293,1998,March,Washington,Restaurant,,,,,,8,,
296,1998,April,California,,,,,,,15,,
298,1998,April,California,Restaurant,,,,,,19,0.0,0.0
299,1998,April,California,Catering Service,,,,,,11,0.0,0.0
301,1998,April,California,Private Home/Residence,,,Salmonella enterica,Coeln,Confirmed,7,,0.0
302,1998,April,California,Restaurant,"Pizza, Meat",,,,,7,0.0,0.0
303,1998,April,California,Restaurant,"Pate, Unspecified",,Clostridium perfringens,,Confirmed,11,0.0,0.0
304,1998,April,Colorado,Restaurant,"Rice, Unspecified; Beans, Unspecified",,Bacillus cereus,,Suspected,2,,0.0
305,1998,April,Colorado,Catering Service,"Salad, Unspecified",,Virus,,Suspected,11,,0.0
306,1998,April,Colorado,Catering Service,,,Virus,,Suspected,12,,0.0
308,1998,April,Florida,,"Chicken, Bbq",,Salmonella enterica,,Suspected,2,,
309,1998,April,Florida,Restaurant,"Rice, Spanish",,Staphylococcus aureus,,Suspected,4,0.0,0.0
310,1998,April,Florida,,Multiple Foods,,Salmonella enterica,Enteritidis,Confirmed,2,0.0,0.0
312,1998,April,Florida,Restaurant,"Chicken, Buffalo Wings",,Salmonella enterica,Enteritidis,Suspected,4,0.0,0.0
313,1998,April,Florida,Restaurant,"Chicken, Nuggets/Fingers",,,,,2,0.0,0.0
314,1998,April,Florida,Restaurant,"Chicken, Buffalo Wings",,,,,2,0.0,0.0
315,1998,April,Florida,Catering Service,"Sausage, Unspecified",,Clostridium perfringens,,Suspected,3,0.0,0.0
316,1998,April,Florida,Restaurant,"Beef, Unspecified; Potato, Unspecified",,Clostridium perfringens,,Suspected,4,0.0,0.0
317,1998,April,Florida,Restaurant,Pita; Chicken Salad,,Virus,,Suspected,3,1.0,0.0
318,1998,April,Florida,Restaurant,"Other Cheese, Unspecified; Ground Beef, Unspecified",,,,,2,0.0,0.0
319,1998,April,Florida,Restaurant,"Chicken, Other",,Salmonella enterica,,Suspected,3,1.0,0.0
320,1998,April,Florida,Restaurant,"Rice, Unspecified; Chicken, Fried; Beans, Unspecified",,,,,4,0.0,0.0
321,1998,April,Florida,Restaurant,"Sandwich, Gyro",,,,,3,0.0,0.0
322,1998,April,Florida,Restaurant,"Crab, Unspecified; Shrimp, Unspecified",,Vibrio parahaemolyticus,,Suspected,5,0.0,0.0
323,1998,April,Florida,Private Home/Residence,"Deviled Eggs; Salad, Unspecified",,Norovirus genogroup I,,Suspected,12,2.0,0.0
324,1998,April,Florida,Restaurant,"Rice, Yellow",,Bacillus cereus,,Suspected,3,0.0,0.0
325,1998,April,Florida,Restaurant,"Ground Beef, Cheeseburger",,,,,3,2.0,0.0
326,1998,April,Florida,Restaurant,"Fish, Grouper, Unspecified; Salmon, Unspecified",,Staphylococcus aureus,,Suspected,3,0.0,0.0
327,1998,April,Florida,Restaurant,Multiple Foods,,Clostridium perfringens,,Suspected,6,0.0,0.0
328,1998,April,Florida,Restaurant,"Onion, Unspecified",,Bacillus cereus,,Suspected,2,0.0,0.0
329,1998,April,Florida,Restaurant,"Chicken, Fried",,,,,2,0.0,0.0
330,1998,April,Florida,Restaurant,"Beef, Stroganoff",,,,,2,0.0,0.0
333,1998,April,Hawaii,Restaurant,,,,,,19,0.0,0.0
334,1998,April,Hawaii,Private Home/Residence,"Fish, Papio",,Ciguatoxin,,Confirmed,5,0.0,0.0
336,1998,April,Indiana,Restaurant,"Pork, Unspecified",,Clostridium perfringens,,Confirmed,18,,
341,1998,April,Maryland,Grocery Store,"Ham, Unspecified",,,,,15,,
342,1998,April,Maryland,Restaurant,,,,,,19,,
343,1998,April,Maryland,Restaurant,Cinnamon Roll,,,,,3,,
344,1998,April,Maryland,Restaurant,"Pizza, Cheese",,,,,5,,
345,1998,April,Maryland,Restaurant,,,,,,4,0.0,0.0
346,1998,April,Maryland,Restaurant,"Pizza, Unspecified",,,,,3,,
347,1998,April,Maryland,Restaurant,,,,,,5,,
348,1998,April,Maryland,Restaurant,Macaroni And Cheese,,,,,2,,
350,1998,April,Maryland,Restaurant,,,,,,6,,
351,1998,April,Maryland,Restaurant,,,,,,3,,
354,1998,April,Michigan,Restaurant,"Sandwich, Chicken",,,,,3,,
355,1998,April,Michigan,,"Beef, Unspecified; Chicken, Unspecified",,,,,4,,
356,1998,April,Michigan,Prison/Jail,"Eggs, Unspecified",,,,,5,,
357,1998,April,Michigan,,"Pizza, Unspecified",,,,,4,,
358,1998,April,Michigan,Catering Service,"Steak, Unspecified; Shrimp, Unspecified; Potato, Unspecified",,,,,2,,
359,1998,April,Michigan,Catering Service,"Sandwich, Submarine",,Bacillus cereus,,Confirmed,25,,
360,1998,April,Michigan,Restaurant,Salad Bar,,,,,7,,
361,1998,April,Michigan,Restaurant,"Chicken, Unspecified",,,,,4,0.0,0.0
362,1998,April,Michigan,Restaurant,Nachos And Cheese,,,,,2,0.0,0.0
363,1998,April,Michigan,Restaurant,"Ground Beef, Meatballs; Turkey, Unspecified; Ham, Unspecified",,,,,18,0.0,0.0
364,1998,April,Michigan,Restaurant,"Pizza, Unspecified; Cake, Unspecified",,,,,15,0.0,0.0
365,1998,April,Minnesota,Restaurant; Private Home/Residence,,,Norovirus unknown,,Suspected,18,0.0,0.0
366,1998,April,Minnesota,School/College/University,Multiple Foods,,,,,14,0.0,0.0
367,1998,April,Minnesota,Restaurant,"Ethnic Style, Unspecified",,Bacillus cereus,,Suspected,5,0.0,0.0
